Alaska,99501,99950
Alabama,35004,36925
Arkansas,71601,72959
Arizona,85001,86556
California,90001,96162
Colorado,80001,81658
Connecticut,6001,6928
Delaware,19701,19980
Florida,32004,34997
Georgia,30001,31999
Hawaii,96701,96898
Iowa,50001,52809
Idaho,83201,83876
Illinois,60001,62999
Indiana,46001,47997
Kansas,66002,67954
Kentucky,40003,42788
Louisiana,70001,71497
Massachusetts,1001,2791
Maryland,20331,21930
Maine,3901,4992
Michigan,48001,49971
Minnesota,55001,56763
Missouri,63001,65899
Mississippi,38601,39776
Montana,59001,59937
North Carolina,27006,28909
North Dakota,58001,58856
Nebraska,68001,69367
New Hampshire,3031,3897
New Jersey,7001,8989
New Mexico,87001,88441
Nevada,88901,89883
New York,10001,14975
Ohio,43001,45999
Oklahoma,73001,74966
Oregon,97001,97920
Pennsylvania,15001,19640
Rhode Island,2801,2940
South Carolina,29001,29948
South Dakota,57001,57799
Tennessee,37010,38589
Texas,75001,79999
Utah,84001,84784
Virginia,20040,24658
Vermont,5001,5907
Washington,98001,99403
Wisconsin,53001,54990
West Virginia,24701,26886
Wyoming,82001,83128
